Item Name`Recipe Type`Pixel`Crafting Material`IM exp`Special Resource Name`Superior Crafting Material`Bacon/Broccoli`Enhancer Fragment`Unobtanium`Chaotic Fragment of Chaos`Proof of Mission`Proof of Training`IM exp per Pixel`IM exp per Crafting Material`IM exp per Superior Crafting Material`IM exp per Bacon/Broccoli`IM exp per Enhancer Fragment`IM exp per Unobtanium`IM exp per Chaotic Fragment of Chaos`IM exp per Proof of Mission`IM exp per Proof of Training`
Weapon Protector`17`0`0`0`Enhancer Fragment```0``````````````
Armor Protector`17`0`0`0`Enhancer Fragment```0``````````````
Accessory Protector`17`0`0`0`Enhancer Fragment```0``````````````
Enhancer Protector`17`0`0`0`Enhancer Fragment```0``````````````
Weapon Attack Rock Lv. 1`17`10000`2000`0`Enhancer Fragment```1``````````````
Weapon Attack Rock Lv. 2`17`35000`7000`0`Enhancer Fragment```2``````````````
Weapon Attack Rock Lv. 3`17`100000`20000`1`Enhancer Fragment```5`````0.000010`0.000050```0.200000`````
Weapon Attack Rock Lv. 4`17`350000`70000`3`Enhancer Fragment```10`````0.000009`0.000043```0.300000`````
Weapon Attack Rock Lv. 5`17`1000000`200000`10`Enhancer Fragment```35`````0.000010`0.000050```0.285714`````
Weapon Attack Rock Lv. 6`17`3500000`700000`35`Enhancer Fragment```100`````0.000010`0.000050```0.350000`````
Weapon Attack Rock Lv. 7`17`10000000`2000000`100`Enhancer Fragment```350`````0.000010`0.000050```0.285714`````
Weapon Attack Rock Lv. 8`17`35000000`7000000`350`Enhancer Fragment```1000`````0.000010`0.000050```0.350000`````
Weapon Attack Rock Lv. 9`17`100000000`20000000`1000`Enhancer Fragment```3500`````0.000010`0.000050```0.285714`````
Weapon Attack Rock Lv. 10`17`350000000`70000000`3500`Enhancer Fragment```10000`````0.000010`0.000050```0.350000`````
Weapon Defense Rock Lv. 1`17`10000`2000`0`Enhancer Fragment```1``````````````
Weapon Defense Rock Lv. 2`17`35000`7000`0`Enhancer Fragment```2``````````````
Weapon Defense Rock Lv. 3`17`100000`20000`1`Enhancer Fragment```5`````0.000010`0.000050```0.200000`````
